Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total		2025M03	34.521
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total		2025M02	28.158
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total		2025M01	21.963
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en España	2025M07	30.613
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en España	2025M06	38.327
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en España	2025M05	35.795
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en España	2025M04	33.977
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en España	2025M03	30.393
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en España	2025M02	24.268
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en España	2025M01	18.392
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en el Extranjero	2025M07	4.750
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en el Extranjero	2025M06	4.138
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en el Extranjero	2025M05	5.340
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en el Extranjero	2025M04	4.954
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en el Extranjero	2025M03	4.128
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en el Extranjero	2025M02	3.890
Total Nacional	08 Castilla - La Mancha	02 Albacete	Viajero	Total	Residentes en el Extranjero	2025M01	3.571
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total		2025M07	68.859
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total		2025M06	109.233
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total		2025M05	84.620
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total		2025M04	72.926
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total		2025M03	56.198
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total		2025M02	43.797
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total		2025M01	33.619
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en España	2025M07	58.869
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en España	2025M06	102.340
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en España	2025M05	76.170
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en España	2025M04	65.558
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en España	2025M03	49.977
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en España	2025M02	36.124
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en España	2025M01	28.029
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	9.990
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	6.893
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	8.450
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	7.368
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	6.221
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	7.672
Total Nacional	08 Castilla - La Mancha	02 Albacete	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	5.590
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total		2025M07	42.988
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total		2025M06	40.934
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total		2025M05	45.309
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total		2025M04	39.860
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total		2025M03	31.632
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total		2025M02	29.526
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total		2025M01	23.779
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en España	2025M07	37.099
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en España	2025M06	35.716
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en España	2025M05	39.667
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en España	2025M04	35.043
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en España	2025M03	26.456
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en España	2025M02	26.505
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en España	2025M01	20.587
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2025M07	5.889
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2025M06	5.218
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2025M05	5.642
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2025M04	4.818
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2025M03	5.176
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2025M02	3.021
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Viajero	Total	Residentes en el Extranjero	2025M01	3.192
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total		2025M07	72.836
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total		2025M06	69.165
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total		2025M05	79.726
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total		2025M04	68.686
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total		2025M03	56.343
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total		2025M02	46.240
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total		2025M01	36.802
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en España	2025M07	63.416
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en España	2025M06	60.586
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en España	2025M05	70.005
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en España	2025M04	60.839
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en España	2025M03	44.807
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en España	2025M02	40.678
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en España	2025M01	31.221
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	9.421
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	8.579
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	9.721
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	7.847
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	11.536
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	5.562
Total Nacional	08 Castilla - La Mancha	13 Ciudad Real	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	5.581
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total		2025M07	25.140
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total		2025M06	26.331
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total		2025M05	27.591
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total		2025M04	26.620
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total		2025M03	20.255
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total		2025M02	24.157
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total		2025M01	15.518
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en España	2025M07	22.129
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en España	2025M06	22.565
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en España	2025M05	23.416
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en España	2025M04	23.335
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en España	2025M03	17.837
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en España	2025M02	22.199
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en España	2025M01	13.850
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M07	3.011
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M06	3.766
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M05	4.175
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M04	3.285
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M03	2.418
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M02	1.958
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Viajero	Total	Residentes en el Extranjero	2025M01	1.668
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total		2025M07	42.902
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total		2025M06	44.432
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total		2025M05	48.914
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total		2025M04	48.625
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total		2025M03	35.213
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total		2025M02	45.179
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total		2025M01	27.131
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en España	2025M07	37.412
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en España	2025M06	37.811
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en España	2025M05	42.481
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en España	2025M04	42.901
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en España	2025M03	30.662
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en España	2025M02	41.331
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en España	2025M01	23.358
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	5.490
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	6.621
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	6.433
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	5.724
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	4.551
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	3.848
Total Nacional	08 Castilla - La Mancha	16 Cuenca	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	3.773
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total		2025M07	28.593
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total		2025M06	29.998
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total		2025M05	30.092
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total		2025M04	27.993
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total		2025M03	16.355
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total		2025M02	17.811
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total		2025M01	15.711
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en España	2025M07	24.771
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en España	2025M06	26.046
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en España	2025M05	25.697
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en España	2025M04	24.478
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en España	2025M03	13.900
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en España	2025M02	15.727
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en España	2025M01	13.617
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en el Extranjero	2025M07	3.822
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en el Extranjero	2025M06	3.952
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en el Extranjero	2025M05	4.395
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en el Extranjero	2025M04	3.515
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en el Extranjero	2025M03	2.455
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en el Extranjero	2025M02	2.084
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Viajero	Total	Residentes en el Extranjero	2025M01	2.094
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total		2025M07	52.607
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total		2025M06	54.268
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total		2025M05	53.238
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total		2025M04	53.668
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total		2025M03	31.472
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total		2025M02	31.062
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total		2025M01	30.328
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en España	2025M07	44.902
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en España	2025M06	46.343
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en España	2025M05	44.513
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en España	2025M04	44.711
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en España	2025M03	25.921
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en España	2025M02	26.420
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en España	2025M01	24.639
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	7.705
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	7.925
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	8.725
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	8.958
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	5.551
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	4.642
Total Nacional	08 Castilla - La Mancha	19 Guadalajara	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	5.689
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total		2025M07	75.323
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total		2025M06	88.531
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total		2025M05	96.176
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total		2025M04	95.490
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total		2025M03	63.912
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total		2025M02	51.000
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total		2025M01	47.346
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en España	2025M07	54.948
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en España	2025M06	68.867
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en España	2025M05	74.108
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en España	2025M04	73.829
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en España	2025M03	49.163
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en España	2025M02	39.029
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en España	2025M01	35.541
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en el Extranjero	2025M07	20.375
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en el Extranjero	2025M06	19.664
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en el Extranjero	2025M05	22.068
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en el Extranjero	2025M04	21.661
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en el Extranjero	2025M03	14.749
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en el Extranjero	2025M02	11.971
Total Nacional	08 Castilla - La Mancha	45 Toledo	Viajero	Total	Residentes en el Extranjero	2025M01	11.805
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total		2025M07	124.556
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total		2025M06	146.723
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total		2025M05	161.747
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total		2025M04	159.150
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total		2025M03	103.822
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total		2025M02	81.101
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total		2025M01	76.825
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en España	2025M07	87.986
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en España	2025M06	110.036
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en España	2025M05	120.474
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en España	2025M04	119.537
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en España	2025M03	78.801
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en España	2025M02	61.733
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en España	2025M01	57.276
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	36.570
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	36.687
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	41.273
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	39.613
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	25.020
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	19.368
Total Nacional	08 Castilla - La Mancha	45 Toledo	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	19.549
Total Nacional	09 Cataluña		Viajero	Total		2025M07	2.615.520
Total Nacional	09 Cataluña		Viajero	Total		2025M06	2.455.692
Total Nacional	09 Cataluña		Viajero	Total		2025M05	2.273.037
Total Nacional	09 Cataluña		Viajero	Total		2025M04	1.969.774
Total Nacional	09 Cataluña		Viajero	Total		2025M03	1.401.065
Total Nacional	09 Cataluña		Viajero	Total		2025M02	1.169.902
Total Nacional	09 Cataluña		Viajero	Total		2025M01	1.063.163
Total Nacional	09 Cataluña		Viajero	Total	Residentes en España	2025M07	884.330
Total Nacional	09 Cataluña		Viajero	Total	Residentes en España	2025M06	894.453
Total Nacional	09 Cataluña		Viajero	Total	Residentes en España	2025M05	747.073
Total Nacional	09 Cataluña		Viajero	Total	Residentes en España	2025M04	687.691
Total Nacional	09 Cataluña		Viajero	Total	Residentes en España	2025M03	537.045
Total Nacional	09 Cataluña		Viajero	Total	Residentes en España	2025M02	468.115
Total Nacional	09 Cataluña		Viajero	Total	Residentes en España	2025M01	420.488
Total Nacional	09 Cataluña		Viajero	Total	Residentes en el Extranjero	2025M07	1.731.190
Total Nacional	09 Cataluña		Viajero	Total	Residentes en el Extranjero	2025M06	1.561.240
Total Nacional	09 Cataluña		Viajero	Total	Residentes en el Extranjero	2025M05	1.525.964
Total Nacional	09 Cataluña		Viajero	Total	Residentes en el Extranjero	2025M04	1.282.083
Total Nacional	09 Cataluña		Viajero	Total	Residentes en el Extranjero	2025M03	864.020
Total Nacional	09 Cataluña		Viajero	Total	Residentes en el Extranjero	2025M02	701.787
Total Nacional	09 Cataluña		Viajero	Total	Residentes en el Extranjero	2025M01	642.675
Total Nacional	09 Cataluña		Pernoctaciones	Total		2025M07	8.217.469
Total Nacional	09 Cataluña		Pernoctaciones	Total		2025M06	6.890.423
Total Nacional	09 Cataluña		Pernoctaciones	Total		2025M05	6.056.293
Total Nacional	09 Cataluña		Pernoctaciones	Total		2025M04	4.990.114
Total Nacional	09 Cataluña		Pernoctaciones	Total		2025M03	3.241.139
Total Nacional	09 Cataluña		Pernoctaciones	Total		2025M02	2.584.837
Total Nacional	09 Cataluña		Pernoctaciones	Total		2025M01	2.392.888
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en España	2025M07	2.152.959
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en España	2025M06	1.869.312
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en España	2025M05	1.582.387
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en España	2025M04	1.467.479
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en España	2025M03	1.057.199
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en España	2025M02	839.804
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en España	2025M01	806.367
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en el Extranjero	2025M07	6.064.510
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en el Extranjero	2025M06	5.021.111
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en el Extranjero	2025M05	4.473.906
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en el Extranjero	2025M04	3.522.636
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en el Extranjero	2025M03	2.183.940
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en el Extranjero	2025M02	1.745.033
Total Nacional	09 Cataluña		Pernoctaciones	Total	Residentes en el Extranjero	2025M01	1.586.521
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total		2025M07	1.416.260
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total		2025M06	1.348.735
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total		2025M05	1.324.501
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total		2025M04	1.169.127
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total		2025M03	1.009.693
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total		2025M02	853.957
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total		2025M01	789.995
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en España	2025M07	329.110
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en España	2025M06	321.279
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en España	2025M05	304.377
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en España	2025M04	265.417
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en España	2025M03	283.856
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en España	2025M02	256.257
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en España	2025M01	232.305
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en el Extranjero	2025M07	1.087.151
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en el Extranjero	2025M06	1.027.456
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en el Extranjero	2025M05	1.020.124
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en el Extranjero	2025M04	903.710
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en el Extranjero	2025M03	725.837
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en el Extranjero	2025M02	597.700
Total Nacional	09 Cataluña	08 Barcelona	Viajero	Total	Residentes en el Extranjero	2025M01	557.690
Total Nacional	09 Cataluña	08 Barcelona	Pernoctaciones	Total		2025M07	3.902.624
Total Nacional	09 Cataluña	08 Barcelona	Pernoctaciones	Total		2025M06	3.482.787
