Totales Territoriales	Comunidades y Ciudades Autónomas	Provincias	Viajeros y pernoctaciones	Residencia: Nivel 1	Residencia: Nivel 2	Periodo	Total
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en el Extranjero	2025M07	192.732
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en el Extranjero	2025M06	174.567
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en el Extranjero	2025M05	125.763
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en el Extranjero	2025M04	109.105
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en el Extranjero	2025M03	61.729
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en el Extranjero	2025M02	43.507
Total Nacional	01 Andalucía	04 Almería	Pernoctaciones	Total	Residentes en el Extranjero	2025M01	33.500
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total		2025M07	371.412
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total		2025M06	346.407
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total		2025M05	308.771
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total		2025M04	259.883
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total		2025M03	147.453
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total		2025M02	127.353
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total		2025M01	100.095
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en España	2025M07	279.008
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en España	2025M06	243.945
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en España	2025M05	202.150
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en España	2025M04	165.206
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en España	2025M03	91.488
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en España	2025M02	86.588
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en España	2025M01	66.447
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M07	92.404
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M06	102.462
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M05	106.621
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M04	94.677
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M03	55.965
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M02	40.765
Total Nacional	01 Andalucía	11 Cádiz	Viajero	Total	Residentes en el Extranjero	2025M01	33.648
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total		2025M07	1.285.232
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total		2025M06	1.032.410
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total		2025M05	884.462
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total		2025M04	686.011
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total		2025M03	374.464
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total		2025M02	292.027
Total Nacional	01 Andalucía	11 Cádiz	Pernoctaciones	Total		2025M01	225.561
